residence.status,any.residence,ethnicity,engagement,information.source,more.emails.events,more.emails.governance,clubs.known,clubs.attended,clubs.important,tcm.attendance,tcm.engagement,tcm.ideal.time,tcm.attendance.reasons
Resident,Yes,Indian,4,Facebook (2T2 Group),Neutral,Neutral,"Trinity College Computer Science Club (TrinCS), James Bond Society (JBS), Trinclusion, Trinity Fiction Writing Club, Trinity College Outing Society (TCOS), Trinity College South Asian Students Society (TCSASS)",Trinity College South Asian Students Society (TCSASS),"Trinity College Arts Council, Trinity College Art Show, Trinity College South Asian Students Society (TCSASS)",1,I leave early and I do not participate in the discussion (only vote/listen),N/A,I attend TCMs only when issues are brought up that are extremely important to me
Resident,Yes,Asian,3,Facebook (2T2 Group),Yes,Yes,"Trinity College Computer Science Club (TrinCS), Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Arts Council, Trinity College Art Show, Beyond Sciences Initiative (BSI), James Bond Society (JBS), Trinity College Domestic God(esse)s (TCDG), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity College Outing Society (TCOS), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity College Multicultural Society (TCMS), Trinity Against Sexual Assault and Harassment (TASAH), Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS), Trinity College Trivia Association (TCTA), ZoomBike, Trinity College South Asian Students Society (TCSASS), Trinity College Crafting Club","Trinity College Art Show, Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity College Multicultural Society (TCMS), Trinity Against Sexual Assault and Harassment (TASAH), Trinity College South Asian Students Society (TCSASS)","Trinity College Chinese Students Association (TCCSA), Trinity College Outing Society (TCOS), Trinity College Multicultural Society (TCMS), Trinity Against Sexual Assault and Harassment (TASAH), Trinity College South Asian Students Society (TCSASS)",2 to 4 ,I stay for the whole time but I do not participate in the discussion (only vote/listen),6:00 PM,I attend TCMs only when issues are brought up that are extremely important to me
Resident,Yes,White,3,Facebook (2T2 Group),Yes,Yes,"Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Arts Council, Trinity College Art Show, Beyond Sciences Initiative (BSI), James Bond Society (JBS), Trinity College Domestic God(esse)s (TCDG), Trinity College Rural Residency Association (TCRRA), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity Fiction Writing Club, Trinity College Outing Society (TCOS), Trinity Royale, IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity College Multicultural Society (TCMS), Trinity Against Sexual Assault and Harassment (TASAH), Trinity College Historical Society (TCHS), Trinity College Trivia Association (TCTA), ZoomBike, Junior Arts Patrons (JAPs), Trinity College South Asian Students Society (TCSASS), Trinity College Crafting Club",Trinity Women in Leadership (TWIL),"Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Chinese Students Association (TCCSA), Trinity College Outing Society (TCOS), Trinity College Multicultural Society (TCMS)",1,I leave early and I do not participate in the discussion (only vote/listen),8 PM - current start time,I do not attend the TCM because I do not have time
Non-Resident,"No, I have never lived in residence",White,2,"Facebook (2T2 Group), Facebook (Other), Email (Other)",Yes,Yes,"Trinity Women in Leadership (TWIL), Trinity College Art Show, Beyond Sciences Initiative (BSI), James Bond Society (JBS), Trinity College Domestic God(esse)s (TCDG), Trinity College Rural Residency Association (TCRRA), Trinity College Chinese Students Association (TCCSA), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity College Historical Society (TCHS)","Beyond Sciences Initiative (BSI), Trinity College Rural Residency Association (TCRRA)","Trinity College Jewish Student Society (TCJEWSS), Beyond Sciences Initiative (BSI), Trinity College Rural Residency Association (TCRRA), Trinity College Outing Society (TCOS), Trinity College Multicultural Society (TCMS)",0,Not applicable - I have never attended a TCM,6:00 PM,I do not attend the TCM because I feel uncomfortable there
Resident,Yes,White,4,"Email (Other), Word of Mouth",Yes,Yes,"Trinity College Computer Science Club (TrinCS), Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Arts Council, Trinity College Art Show, Beyond Sciences Initiative (BSI), James Bond Society (JBS), Trinity College Domestic God(esse)s (TCDG), Trinity College Rural Residency Association (TCRRA), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity Fiction Writing Club, Trinity College Outing Society (TCOS), Trinity College Fitness and Nutrition Society (TCFNS), Trinity Royale, Trinity College Life Sciences Society (TCLSS), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity College Multicultural Society (TCMS), Trinity Against Sexual Assault and Harassment (TASAH), Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS), Trinity College Trivia Association (TCTA), ZoomBike, Junior Arts Patrons (JAPs), Trinity College South Asian Students Society (TCSASS), Trinity College Crafting Club, Immunology Students Association (IMMSA)","Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Art Show, James Bond Society (JBS), Trinity College Rural Residency Association (TCRRA), Trinity College Chinese Students Association (TCCSA), Trinity College Learning Intimacy Together (TCLIT), Un-Anglican Affairs Committee (UAAC)","Trinity Women in Leadership (TWIL), Beyond Sciences Initiative (BSI), Un-Anglican Affairs Committee (UAAC)",7 to 8 ,I stay for the whole time and I participate in the discussion,8 PM - current start time,I attend the TCM to stay engaged with the community
Non-Resident,Yes,White,1,Facebook (2T2 Group),Neutral,Neutral,"Trinity Women in Leadership (TWIL), Trinity College Art Show, Beyond Sciences Initiative (BSI), James Bond Society (JBS), Trinity College Domestic God(esse)s (TCDG), Trinity College Rural Residency Association (TCRRA), Trinity College Outing Society (TCOS), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity Against Sexual Assault and Harassment (TASAH), Trinity College Historical Society (TCHS), ZoomBike",,"Trinity Women in Leadership (TWIL), Trinity College Art Show, Trinity Fiction Writing Club, IR Society (IRSOC), Trinity Against Sexual Assault and Harassment (TASAH)",0,Not applicable - I have never attended a TCM,8 PM - current start time,I do not attend the TCM because I feel uncomfortable there
Resident,Yes,South Asian ,3,"Facebook (2T2 Group), Word of Mouth",No,Yes,"Trinity College Art Show, James Bond Society (JBS), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity Fiction Writing Club, Trinity College South Asian Students Society (TCSASS), Trinity College Crafting Club",Trinity Fiction Writing Club,Trinity Fiction Writing Club,0,Not applicable - I have never attended a TCM,I would not attend the TCM regardless,I do not attend the TCM because I am not interested in what is discussed
Non-Resident,"No, I have never lived in residence","Hispanic, Latino, or of Spanish origin",0,Trin This Week (Email),Neutral,Neutral,"Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Art Show, Beyond Sciences Initiative (BSI), James Bond Society (JBS), Trinity College Domestic God(esse)s (TCDG), Trinity College Rural Residency Association (TCRRA), Trinity College Chinese Students Association (TCCSA), Trinclusion, IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity Against Sexual Assault and Harassment (TASAH), Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS)",,"Trinity Women in Leadership (TWIL), Trinity College Art Show, Trinity College Chinese Students Association (TCCSA), IR Society (IRSOC), Trinity Against Sexual Assault and Harassment (TASAH)",0,Not applicable - I have never attended a TCM,7:00 PM,I do not attend the TCM because I do not have time
Resident,Yes,White,3,"Facebook (2T2 Group), Facebook (Other), Word of Mouth",Yes,Neutral,"Trinity Women in Leadership (TWIL), Trinity College Arts Council, James Bond Society (JBS), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity Fiction Writing Club, Trinity College Outing Society (TCOS), Trinity College Multicultural Society (TCMS)","Trinity College Outing Society (TCOS), Trinity College Multicultural Society (TCMS)","Trinity Women in Leadership (TWIL), Trinity College Arts Council, Trinity College Outing Society (TCOS), Trinity College Multicultural Society (TCMS)",0,Not applicable - I have never attended a TCM,7:00 PM,I do not attend the TCM because I do not have time
Resident,Yes,White,4,"Facebook (2T2 Group), Facebook (Other), Word of Mouth",Neutral,Neutral,"Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Art Show, Beyond Sciences Initiative (BSI), James Bond Society (JBS), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity Fiction Writing Club, Trinity College Outing Society (TCOS), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity College Multicultural Society (TCMS), Trinity College Historical Society (TCHS), Trinity College Trivia Association (TCTA), ZoomBike, Junior Arts Patrons (JAPs), Trinity College South Asian Students Society (TCSASS)","Beyond Sciences Initiative (BSI), Trinity College Outing Society (TCOS)","Trinity Women in Leadership (TWIL), Trinity College Art Show, Beyond Sciences Initiative (BSI), Trinity College Outing Society (TCOS), Trinity College Multicultural Society (TCMS)",2 to 4 ,I leave early and I do not participate in the discussion (only vote/listen),8 PM - current start time,I attend the TCM to stay engaged with the community
Non-Resident,Yes,South Asian,1,"Email (Other), Word of Mouth",Neutral,Yes,"Trinity College Computer Science Club (TrinCS), Trinity Women in Leadership (TWIL), Trinity College Art Show, James Bond Society (JBS), Trinity College Chinese Students Association (TCCSA), Trinity College Learning Intimacy Together (TCLIT), Trinity College Multicultural Society (TCMS), Trinity College Trivia Association (TCTA), Trinity College South Asian Students Society (TCSASS)",Trinity College Art Show,"Trinity Women in Leadership (TWIL), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity College Multicultural Society (TCMS), Trinity College South Asian Students Society (TCSASS)",0,I leave early and I do not participate in the discussion (only vote/listen),8 PM - current start time,I attend TCMs only when issues are brought up that are extremely important to me
Non-Resident,"No, I have never lived in residence",White,3,"Facebook (2T2 Group), Facebook (Other), Trin This Week (Email), Email (Other), Word of Mouth",Neutral,Neutral,"Trinity Women in Leadership (TWIL), Trinity College Arts Council, Trinity College Art Show, IR Society (IRSOC), Trinity College Multicultural Society (TCMS), Trinity Against Sexual Assault and Harassment (TASAH), Trinity College Historical Society (TCHS), Trinity College Trivia Association (TCTA)",,"Trinity Women in Leadership (TWIL), Trinclusion, Trinity College Fitness and Nutrition Society (TCFNS), Trinity College Multicultural Society (TCMS), Trinity Against Sexual Assault and Harassment (TASAH)",0,Not applicable - I have never attended a TCM,6:00 PM,I do not attend the TCM because I do not have time
Resident,Yes,White,2,"Facebook (2T2 Group), Facebook (Other), Word of Mouth",Yes,Neutral,"Trinity Women in Leadership (TWIL), Trinity College Art Show, James Bond Society (JBS), Trinclusion, Trinity College Outing Society (TCOS), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity College Trivia Association (TCTA), Junior Arts Patrons (JAPs), Trinity Review",,"Trinity Women in Leadership (TWIL), James Bond Society (JBS), Trinclusion, IR Society (IRSOC), Trinity Review",0,Not applicable - I have never attended a TCM,8 PM - current start time,I do not attend the TCM because I do not know enough about it
Resident,"No, I have never lived in residence",White,5,"Facebook (2T2 Group), Word of Mouth",Yes,Yes,"Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Art Show, James Bond Society (JBS), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity College Outing Society (TCOS), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity College Multicultural Society (TCMS), Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS), Trinity College Trivia Association (TCTA), Trinity College South Asian Students Society (TCSASS)","Trinity College Jewish Student Society (TCJEWSS), James Bond Society (JBS), Trinity College Chinese Students Association (TCCSA), Trinity College Outing Society (TCOS), Trinity College Learning Intimacy Together (TCLIT), Trinity College Multicultural Society (TCMS), Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS), Trinity College Trivia Association (TCTA), Trinity College South Asian Students Society (TCSASS)","Trinity Women in Leadership (TWIL), Trinity College Outing Society (TCOS), Trinity College Multicultural Society (TCMS), Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS)",5 to 6 ,I leave early and I do not participate in the discussion (only vote/listen),8 PM - current start time,I attend the TCM to stay engaged with the community
Resident,Yes,White,3,"Facebook (2T2 Group), Facebook (Other), Word of Mouth",Yes,Neutral,"Trinity Women in Leadership (TWIL), Trinity College Art Show, James Bond Society (JBS), Trinclusion, Trinity College Outing Society (TCOS), IR Society (IRSOC)","Trinity College Art Show, IR Society (IRSOC)","Trinity Women in Leadership (TWIL), Trinity College Art Show, Trinclusion, Trinity College Outing Society (TCOS), IR Society (IRSOC)",2 to 4 ,I leave early and I do not participate in the discussion (only vote/listen),8 PM - current start time,I attend TCMs only when issues are brought up that are extremely important to me
Resident,Yes,White,5,"Facebook (2T2 Group), Trin This Week (Email), Word of Mouth",Neutral,Neutral,"Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Arts Council, Trinity College Art Show, Beyond Sciences Initiative (BSI), James Bond Society (JBS), Trinity College Domestic God(esse)s (TCDG), Trinity College Rural Residency Association (TCRRA), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity College Outing Society (TCOS), Trinity Royale, Trinity College Life Sciences Society (TCLSS), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity College Multicultural Society (TCMS), Trinity Against Sexual Assault and Harassment (TASAH), Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS), Trinity College Trivia Association (TCTA), ZoomBike, Junior Arts Patrons (JAPs), Immunology Students Association (IMMSA)","Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Art Show","Trinity Women in Leadership (TWIL), Trinity College Art Show, Beyond Sciences Initiative (BSI), Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS)",1,I stay for the whole time and I participate in the discussion,7:00 PM,I attend TCMs only when issues are brought up that are extremely important to me
Resident,Yes,White,5,"Facebook (2T2 Group), Word of Mouth",Neutral,Neutral,"Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Art Show, James Bond Society (JBS), Trinity College Rural Residency Association (TCRRA), Trinclusion, Trinity Fiction Writing Club, Trinity College Outing Society (TCOS), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity College Multicultural Society (TCMS), Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS), Trinity College Trivia Association (TCTA), ZoomBike, Junior Arts Patrons (JAPs), Trinity College South Asian Students Society (TCSASS), Trinity College Crafting Club","Trinity College Jewish Student Society (TCJEWSS), James Bond Society (JBS), Trinity College Learning Intimacy Together (TCLIT), Un-Anglican Affairs Committee (UAAC)","Beyond Sciences Initiative (BSI), James Bond Society (JBS), Trinclusion, Trinity Against Sexual Assault and Harassment (TASAH), Trinity College South Asian Students Society (TCSASS)",7 to 8 ,I stay for the whole time but I do not participate in the discussion (only vote/listen),7:00 PM,I attend the TCM to stay engaged with the community
Non-Resident,Yes,White,5,Facebook (2T2 Group),Yes,Neutral,"Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Art Show, Beyond Sciences Initiative (BSI), James Bond Society (JBS), Trinity College Domestic God(esse)s (TCDG), Trinity College Rural Residency Association (TCRRA), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity Fiction Writing Club, Trinity College Outing Society (TCOS), Trinity Royale, IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity College Multicultural Society (TCMS), Trinity Against Sexual Assault and Harassment (TASAH), Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS), Trinity College Trivia Association (TCTA), ZoomBike, Junior Arts Patrons (JAPs), Trinity College Crafting Club, Immunology Students Association (IMMSA)","Trinity Women in Leadership (TWIL), Trinity College Art Show, Trinity College Rural Residency Association (TCRRA), Trinity Against Sexual Assault and Harassment (TASAH), Junior Arts Patrons (JAPs)","Trinity Women in Leadership (TWIL), Trinity College Art Show, Trinity College Outing Society (TCOS), IR Society (IRSOC), Trinity Against Sexual Assault and Harassment (TASAH)",2 to 4 ,I stay for the whole time but I do not participate in the discussion (only vote/listen),8 PM - current start time,I attend TCMs only when issues are brought up that are extremely important to me
Resident,Yes,White,4,"Facebook (2T2 Group), Facebook (Other), Word of Mouth",No,Neutral,"Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Art Show, James Bond Society (JBS), Trinity College Rural Residency Association (TCRRA), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity Fiction Writing Club, Trinity College Outing Society (TCOS), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS)","Trinity Women in Leadership (TWIL), James Bond Society (JBS), Trinclusion, Trinity College Learning Intimacy Together (TCLIT), Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS)","Trinity Women in Leadership (TWIL), James Bond Society (JBS), Trinclusion, Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS)",7 to 8 ,I leave early but I participate in the discussion,8 PM - current start time,I attend the TCM to stay engaged with the community
Resident,Yes,Mixed Race,4,Facebook (2T2 Group),Neutral,Neutral,"IR Society (IRSOC), Trinity Against Sexual Assault and Harassment (TASAH), Trinity College Crafting Club","Trinity College Chinese Students Association (TCCSA), IR Society (IRSOC)","Trinity Women in Leadership (TWIL), Trinclusion, Trinity College Outing Society (TCOS), IR Society (IRSOC), Trinity Against Sexual Assault and Harassment (TASAH)",0,I leave early and I do not participate in the discussion (only vote/listen),8 PM - current start time,I do not attend the TCM because I am not interested in what is discussed
Non-Resident,Yes,Asian,3,"Facebook (2T2 Group), Word of Mouth",Yes,Yes,"Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Art Show, James Bond Society (JBS), Trinity College Domestic God(esse)s (TCDG), Trinity College Rural Residency Association (TCRRA), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity Fiction Writing Club, Trinity College Outing Society (TCOS), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity College Multicultural Society (TCMS), Trinity College Historical Society (TCHS), ZoomBike","Trinity Women in Leadership (TWIL), Trinity College Art Show, James Bond Society (JBS), Trinity College Chinese Students Association (TCCSA), IR Society (IRSOC)","Trinity Women in Leadership (TWIL), Trinity College Art Show, Trinity College Chinese Students Association (TCCSA), Trinity College Learning Intimacy Together (TCLIT)",0,Not applicable - I have never attended a TCM,6:00 PM,I do not attend the TCM because I feel uncomfortable there
Non-Resident,"No, I have never lived in residence",South Asian,1,Word of Mouth,Yes,Yes,Trinity Fiction Writing Club,,"Trinity Women in Leadership (TWIL), Trinity Fiction Writing Club, Trinity College Outing Society (TCOS)",0,Not applicable - I have never attended a TCM,8 PM - current start time,I do not attend the TCM because I do not know enough about it
